Category: All categories

Month,data science: (France),data analyst: (France)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,9,0
2004-07,0,0
2004-08,10,0
2004-09,0,0
2004-10,0,0
2004-11,7,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,10,0
2005-04,6,6
2005-05,0,0
2005-06,5,0
2005-07,0,0
2005-08,5,0
2005-09,0,0
2005-10,8,4
2005-11,0,0
2005-12,0,0
2006-01,0,3
2006-02,3,3
2006-03,6,6
2006-04,0,0
2006-05,3,0
2006-06,3,0
2006-07,3,0
2006-08,0,0
2006-09,3,0
2006-10,2,0
2006-11,2,0
2006-12,4,0
2007-01,2,0
2007-02,6,0
2007-03,4,0
2007-04,0,0
2007-05,3,0
2007-06,5,0
2007-07,2,2
2007-08,4,0
2007-09,5,2
2007-10,1,1
2007-11,1,0
2007-12,4,0
2008-01,1,0
2008-02,3,0
2008-03,0,1
2008-04,3,1
2008-05,0,0
2008-06,9,3
2008-07,4,1
2008-08,0,0
2008-09,3,0
2008-10,2,3
2008-11,2,0
2008-12,2,2
2009-01,2,2
2009-02,4,1
2009-03,3,1
2009-04,1,0
2009-05,2,1
2009-06,2,1
2009-07,2,0
2009-08,0,1
2009-09,1,0
2009-10,5,0
2009-11,2,0
2009-12,3,2
2010-01,1,1
2010-02,3,4
2010-03,3,2
2010-04,4,0
2010-05,4,0
2010-06,4,1
2010-07,0,2
2010-08,1,0
2010-09,2,2
2010-10,4,1
2010-11,2,1
2010-12,3,2
2011-01,1,0
2011-02,2,0
2011-03,1,3
2011-04,1,1
2011-05,4,0
2011-06,2,0
2011-07,1,1
2011-08,0,1
2011-09,2,0
2011-10,2,2
2011-11,3,2
2011-12,2,2
2012-01,3,1
2012-02,2,1
2012-03,1,4
2012-04,4,3
2012-05,3,1
2012-06,2,2
2012-07,1,2
2012-08,2,1
2012-09,1,3
2012-10,2,2
2012-11,2,2
2012-12,1,1
2013-01,5,3
2013-02,3,2
2013-03,5,1
2013-04,4,2
2013-05,4,1
2013-06,3,2
2013-07,7,2
2013-08,3,1
2013-09,2,2
2013-10,3,2
2013-11,3,4
2013-12,5,2
2014-01,7,4
2014-02,5,5
2014-03,7,6
2014-04,7,4
2014-05,4,4
2014-06,6,1
2014-07,8,5
2014-08,9,2
2014-09,15,6
2014-10,11,5
2014-11,10,4
2014-12,12,4
2015-01,12,8
2015-02,19,7
2015-03,15,5
2015-04,13,8
2015-05,15,4
2015-06,22,9
2015-07,19,7
2015-08,15,8
2015-09,25,10
2015-10,27,9
2015-11,21,10
2015-12,27,9
2016-01,35,11
2016-02,31,13
2016-03,32,12
2016-04,32,8
2016-05,29,13
2016-06,40,11
2016-07,29,12
2016-08,22,10
2016-09,45,16
2016-10,45,12
2016-11,42,17
2016-12,35,16
2017-01,44,14
2017-02,48,20
2017-03,52,14
2017-04,47,18
2017-05,53,9
2017-06,54,14
2017-07,39,15
2017-08,51,18
2017-09,50,19
2017-10,60,29
2017-11,69,24
2017-12,50,18
2018-01,63,29
2018-02,64,34
2018-03,65,25
2018-04,66,24
2018-05,59,25
2018-06,62,27
2018-07,50,23
2018-08,47,23
2018-09,73,32
2018-10,74,32
2018-11,74,31
2018-12,61,27
2019-01,80,29
2019-02,75,39
2019-03,84,33
2019-04,94,36
2019-05,79,38
2019-06,84,31
2019-07,86,36
2019-08,79,40
2019-09,100,50
2019-10,99,53
2019-11,96,51
2019-12,69,46
2020-01,80,49
2020-02,86,44
2020-03,81,39
2020-04,83,37
2020-05,77,45
2020-06,93,49
2020-07,78,43
2020-08,80,41
2020-09,96,64
2020-10,91,54
2020-11,73,44
2020-12,73,48
2021-01,87,60
2021-02,86,59
2021-03,78,56
2021-04,79,59
2021-05,68,58
2021-06,74,62
2021-07,58,59
2021-08,61,51
2021-09,92,64
2021-10,86,75
2021-11,84,55
2021-12,75,76
2022-01,84,89
2022-02,93,86
